,Incident Description,Record Classification
7012,"Mistras Inspector driving between reliability shop and admin. building talking on cell phone. Unable to stop, discussed with Mistras lead personnel to talk with individual.",Level0
7013,The lab/wastewater refrigerator shifted forward when lab tech opened the refrigerator to retrieve a hexane standard.  Two small boxes of premade hexane standards fell out of the refrigerator when the refrigerator started to tilt forward.  Tech was able to stop the refrigerator from completely falling forward.,Level0
7014,Brand employee building scaffold got finger caught between scaffold boards causing a severe cut to end of left thumb. Employee was taken to LYB Health services then to offsite medical services.,Level2
7015,A contractor  was in the process of installing a new cooling water line located outside of production line 1 at a height of 15.25? when a segment of 4? ID metal pipe weighing 39 lbs. was dropped. The area around the job was well barricaded and tagged with a spotter present to keep personnel away from the area. The pipe segment fell inside the barricaded area. There were no injuries or equipment damage as a result of this incident.,Level0
7016,Contractors (4) communicated to BYO Supervision that they were experiencing discomfort internally in the throat area.  Further investigation revealed that this incident occurred while working at BCO but symptoms did not escalate until reaching BYO. Contractors were seen by BLO EMT?s and were released with no restriction and would follow up the following morning with the company nurse.,Level0
7017,"Contract Millwrights were in the process of loosening a primary wedge on the LD1 reactor bottom head when the stop block for the HyTorq reaction arm slipped out of position and glanced off the left hip of the contract Millwright. No first aid needed, for report only.",Level0
7018,Lawn Crew Supervisor approached lawn crew to inform them he was leaving the site temporarily and a rock from weed eating struck his truck window breaking it.  No injuries occurred.,Level0
7019,"Pipe fitter was using a cutting disc to cut out a deluge ring in a compact area. While holding the cutting tool in his right hand, the fitter moved his left index finger in front of the disc. The disc made contact with his glove and knuckle of his index finger, causing a small cut to the finger. The finger never bled and was cleaned and dressed by the contractor's safety department.",Level1
7020,"Austin contractor working on a 10"" process line that had been prepped and blinded, came into contact with some diluted VAM that had settled into the bottom of a check valve.  LYB and Austin supervision were notified. Austin contractor changed uniforms, was seen by a LYB medic and released back to work.",Level0
7021,While standing on the porch of the VAM BRB a LYB employee felt dizzy and fainted. LYB supervision and safety were notified. LYB medic looked and employee and it was decided to take them to medical dept for further evaluation.  Personal medical issue,Level0
7022,Employee developed a nose bleed while eating lunch.  When the employee was not able to control the nose bleed he was taken to the HRO Medical Dept. for assistance.  Employee was treated and returned to duty without restriction.,Level0
7023,"While making rounds on tracks 1, 2 & 3 noticed the Fall Restraint cable between spot 1 & 2 was not retracted in and the harness was still attached to the cable.  Tied the cable off to the retraction rope and unhooked the harness.",Level0
7024,"BP1 operator was catching a D-402 BTMS sample and had the side seam of the plastic bottle develop a small  split, witch sprayed onto the operators FRC. Operator stated that he only had the sample point cracked open at the time.
Other sample bottles from the box were looked at to ensure that there were no obvious defects found. 
Further investigation points to possible plugging of the vent canister on the sample loop. Notification written and a danger tag hung in the field.",Level0
7025,"LYB Employee noticed an open meter socket on a pole South of the tracks.  He followed up and asked E&I to investigate.  There were two CN locks on the pole, one locked and one not.  The E&I employee tested the socket and found it to be live.  They proceeded to call the CN hotline number and report the issue.  CN stated they would send someone out to follow-up.  Our E&I will provide a temporary cover and a tag to indicate that the open socket is live warning of the issue until the CN can arrive and resolve/cover the open socket.",Level0
7026,Aztek Contractor lightly bumped Gate 2 with the front of a golf cart being driven (there were 2 people in the golf cart).  The driver didn't realize they were that close to the gate.  There were no injuries and no equipment damage.,Level0
7027,"Following replacement of HVAC Trend controller, Contractor has consistently failed to return to site to complete installation.  Manual temperature/humidity control required",Level0
7028,"Brock employee received a laceration to left pinkie finger.  Employee was taken to LYB Health Services, treated and released back to work.",Level1
7029,"At approximately 2pm on Friday 4/8/16 Olefins machinist were setting up to pull P4879-B in OP2 NESHAP. While preparing breathing air cart for service , machinist reported to his co-worker that he could not get the fitting on the breathing air cart manifold to accept the fitting on the airline , thinking they had mismatched fittings they closed all of the bottles and depressurized the manifold and  removed a fitting from one of the extra airline hoses and installed it on the cart manifold and re-opened all the valves . The machinist then noticed that the pressure gauge on the regulator was at max pressure he then started adjusting the regulator pressure down (approx.3 rounds) and the regulator was at the minimum  setting with no change to reading on pressure gauge, within a few seconds the airline hose failed due to being over pressured by the failed regulator. Returned breathing air cart to HSE building and notified HSE personnel.",Level0
7030,Bag Lifter on L2 mixer broke off of the slide and fell approximately  3 feet to the ground. Maintenance was called in for repairs.,Level0
7031,THE OPERATOR WAS MANOUVERING THE PLATFORM FOR INSPECTING THE PUFFER POTS AND VACUUM WHEN THE RAILING ON THE PLATFORM IMPACTED THE POWER SWITCH WHICH CONSEQUENTLY BROKE AWAY FROM THE PANEL.,Level0
7032,"JV employee reported discomfort to left eye, treated by JV Safety.  Employee returned to work.",Level1
7033,"JV employee reported discomfort to left eye, treated by JV Safety and released to work.",Level1
7034,"While working on lock out for drain line from C-130 to D-951, operations found the one inch casing bleed valve to be severely corroded and cracked. Had operators stop all work and barricade the area off so the valve is not disturbed. Will be evaluated on days by engineering to determine path forward. Notification and break in schedule have already been generated.",Level0
7035,Reported that loose roof sheets were flapping in the strong winds.  All areas informed.  Immediate area is already barriered off.  FSSE informed,Level0
7036,"At approximately 5:00 am, operations was making a round and discovered that EM-1723A (Condensate Recovery) had thrown all 4 blades from the fan hub. 2 of the blades came to rest in the fan shroud and the other 2 blades were in the rocks outside of the fan. The fan was immediately shut down. Pictures were taken and management notified.",Level0
7037,"A contractor was standing on the top of his ladder while working overhead.

I talked to the contractor and the contractor's supervisor and we got him a taller ladder so that he could safely complete the task.",Level0
7038,"Turner employee rolled wrist while lifting self up.  Taken to LYB Health Services, evaluated and released to work.",Level0
7039,Total Safety employee stung by bee in abdomen area. Taken to LYB Health Services for treatment.  Employee released to work.,Level0
7040,Turner employee reported shortness of breath and chest pressure. Employee was taken to LYB Health Services for evaluation and released to back to work.,Level0
7041,JV employee received a laceration to left thumb.  Employee Treated by JV Safety and released to work.,Level1
7042,Turner contract employee struck a parked vehicle at main gate.  Minor damage occurred.,Level0
7043,WEIGHT OF PLATFORM BY EXTRUDER ON LINE A IS BOWING FLOORPLATE SO EDGE IS HIGHER THAN FLOOR CREATING A TRIP HAZARD,Level0
7044,"Safety/Health: (L1) First Aid - While building scaffold on E-3213 the employee was placing a one foot scaffold leg onto a 7 foot leg.  As the two came together, the edge of his finger tip was pinched between the two pieces resulting in a break to the skin. Shift EMT cleaned the injury and he was released to contractor. Band-Aid was applied and employee return to work with no restrictions.",Level1
7045,Electrical short inside enclosed AC control box for Q1 Mixer MCC resulted in melted components. Day shift acknowledged a ground fault in the area earlier in the day. OPS found AC nonfunctional during routine rounds. Coopwood called out to investigate and found burnt out circuitry in the AC control box.,Level1
7046,water leak from rain water causing water puddles on the banbury level over by L-3 /water was mopped up,Level0
7047,"On 24 July these two valves failed to shut after K1651 tripped. An impact was raised, however it appears that very little has been done about it.",Level0
7048,"Employee replaced sulfolane 4 pack filters on 734. While putting filters back in service sulfolane sprayed from the filter head striking employee. 
 Investigation revealed that one of the three lid hold down bolts  sheared causing the liquid to release from filter head. 
Employee was transported to outside facility for treatment. This incident is under investigation.   

",Level2
7049,"Crane was set up in unit a light plant was not in use but was located between outriggers on days on 4-7-16 .operator came in on 4-8-16 and missed the fact that the light plant was used on nights and was still in upright position , operator began to swing and contacted light plant turning it on its side , minor damage was done to the light plan",Level0
7050,"Technician was removing plastic from additive bags on Line 4 400 area 5th floor, while removing the plastic wrap technician stepped on metal flashing covering grating against the east wall. A piece of grating about 2.5' X 3' fell thru to the 4th floor. Technician also fell but was able to catch himself and wasn't injured. No one was on the 4th floor when grating fell thru. Zachry was called out to put up a hard barricade on the 5th floor and the 4th floor was barricaded until repairs can be made. A work notification will be generated to make necessary repairs to grating. Stopped all plant work to discuss incident, and to watch out for any loose grating.",Level0
7051,"Contractor was testing LD1 Control Room switches as part of the LD1 CSU cutover.  One of the switches to be tested was the LD1 Reactor Deluge trip switch.  Contractor verified with Operations the testing of LD1 Reactor Deluge.  Operations OK?d the testing as they had already isolated the LD1 Reactor Deluge thru a unit SSD form to cover the LD CSU cutover.  When switch was tested, the auto-valve opened in field allowing water to spray out thru a  « inch drain tubing at grade.  Tech was working at junction box near this tubing and was startled by water spraying back of leg.  Tech got sprayed on clothing and inside of junction box got wet.",Level0
7052,"Laboratory technician dropped glass tube used to check for color on EO samples. Tube had 100mls. EO 
in it when in use. The tube fell toward technician standing outside Lab. hood, splashing some of the contents on their lab. coat. Technician reported that only part of the contents 
came out because tube did not fall to a horizontal position, so more than half of EO was still in tube, which tech. immediately picked up and put back under hood. Technician  took Lab. coat off and place under hood, then took shirt off
and called shift supervisor. SS called for EMT and had lab. tech get shower",Level0
7053,Employee was walking out at the end of the day and noticed a contractor with the hydro-excavating group standing with one foot on the roll off bin and one foot on the hydro-excavator shoveling mud away from the lip edge of the machine.  Employee asked foreman to find a better solution so the contractor was not putting himself in a potential fall situation.  The foreman said there was no other way to perform job and wasn't willing to discuss.   The job was shut down until the foreman agreed to keep personal on the ground for the remainder of the job.,Level0
7054,"While loading barrel of material onto barrel lift, noticed that there was no connector on the safety chain. Acquired new snap connector from maint. and replaced connection.",Level0
7055,passed inspection label different to product / product description label  see attached photo,Level0
7056,On a walk around the production area I have notice that there has been rather a lot of damage to the large metal part at back of the forklift truck. I spoke to the driver and he informed me its been there two weeks or more. See photo attached,Level0
7057,While climbing T3204 to check blinds for entry operations dropped a flashlight to grade.  Operator was 7-8 feet up the first set of ladders.  Flashlight was in the inside pocket of the shoulder harness but not tethered.,Level0
7058,See Security Consequences Tab SIR 2016-081 (MVA Gate 1 Entrance ),Level0
7059,JV employee felt discomfort to eye.  JV Safety and LYB Health Services treated eye. Employee returned to work.,Level1
7060,Total Safety employee was bitten by an unknown insect in personal car in contractor yellow parking lot.  Employee was taken to LYB Health Services for treatment.  Released to work.,Level0
7061,Technician was attempting to dump the Hi-Vac dust from the hopper into the compactor.  It did not contain a liner which makes it easier to dump.  He had to use a shovel to scrape out the dust. The plant ventilation system was blowing the dust into the warehouse and contractor's area creating a housekeeping issue.,Level0
7062,"While on top of Shell EO car UTLX 901973, employee's personal EO monitor started to alarm.",Level0
7063,"I&E Specialist started feeling dizzy.  Chief Operator helped him to sit down.  Alert 1 Medical was implemented.  Unit was steady state, no venting or anything unusual going on.",Level0
7064,"A small drip of a Corrosion Inhibitor (PS0401) developed on a tote located east of the 732 Cooling Tower.  The drip (1 drop per 2 sec) is being contained within the secondary containment.  The leak is mixing with rainwater already in the secondary containment.  The Corrosion Inhibitor is corrosive, has a slight odor, and high pH according to the SDS.

The FLS was notified and will take the appropriate corrective actions.",Level0
7065,LYB employee was descending ladder in quench area after blocking in 600# supply steam to P-3405C. The employees foot slipped off the ladder rung and caught himself from falling with his left hand hyperextending employees left shoulder. Employee was checked out by on shift EMT and transported to off site clinic for follow up.,Level2
7066,Whilst attending to a machine fault the Electrician found the lid positioning limit switch was wedged into position with a piece of wood. Wood was removed. Fault on machine was another problem and that was rectified - machine was put back into service.,Level0
7067,"Stolthaven Terminal Houston operator witnessed Highway Transport driver, David, using cell phone (against site policy) while waiting to be unloaded.  Stolthaven non-conformance report and HSEQ policies attached.  Driver banned from site.",Level0
7068,"Stolthaven Terminal Houston operator witnessed Highway Transport driver, Derrick Davis, using cell phone (against site policy).  Stolthaven non-conformance report and HSEQ policies attached.  Driver banned from site.",Level0
7069,Transport Service tractor #5597 arrived at Stolthaven Terminal Houston with trailer # 2R331 V00.  Upon arrival at main scale it was noticed that the washout caps on the top of the trailer were loose and leaking with residue down the side of trailer.  Trailer contained DPGF and delivered on delivery # 87927385-010.  Driver corrected loose washout caps and truck was allowed to offload.,Level0
7070,"It was noticed that a bin of waste was placed in a position that could potentially obstruct an emergency exit from plant - also entry restricted.
Asked forklift operator to remove bin.",Level0
7071,Aztec floor tech was removing gloves from wall mounted cabinet. After walking away to another area they heard a loud crash and return to investigate finding the cabinet had fallen and was setting on a table that was under the cabinet. There were no witnesses or no persons in the immediate area when cabinet fell.,Level0
7072,Contractor employee using scissors received cut to left hand. Taken to LYB Health Services for treatment.  Employee returned to work.,Level1
7073,"Found Hydrochem employee asleep in truck
Informed Lyondell maint. rep for Hydrochem
",Level0
7074,At approximately 12 noon today an ICT employee stepped on a nail while working inside R cell of the OP1 cooling tower. This was an existing nail in the structure where the employee was working. The nail penetrated the left front portion of the boot and entered the employees foot (minor penetration). An LYB EMT evaluated the injury & the employee was transported off site by ICT supervision for an assessment of a tetanus shot. ICT did hold a safety stand down to re-evaluate the working area for further hazards.,Level1
7075,"Box of parts was left in front of the sink in PT. This sink contains the eyewash for the lab and the safety shower is located directly in front of it. The parts blocked access to the emergency equipment.
Area in front of sink has been marked with yellow tape to designate that it must be kept clear. Issue will be covered at next safety meeting.",Level0
7076,JV forklift operator made contact with left rear outrigger of a 100 ton operating crane. Superficial scuff marks to the outrigger post.,Level0
7077,Turner employee was struck by falling nail on left elbow. Employee was taken to LYB Health Services. Released back to work.,Level1
7078,"A Petrochem employee,was cutting some lumber (2x4?s), and was bending over to pick them up.  When the employee rose up from a stooping position, employee felt a pain in lower back.
",Level1
7079,"Drive instructed to go to area in front of weighbridge for unloading empty pallets.
Driver then proceeded to ignore instruction and drove under canopy. Fork truck driver then instructed driver to reverse into the correct area & fork truck driver performed banksman duties.
Driver was placed into the correct area & instructed to stop but driver continued to reverse up weighbridge ramp for some apparent reason hitting the weighbridge steps.
Driver was ask why he done this but was unable to communicate in English.
Bryan Neaves & Chris Baker & Maintenance attended the incident to risk asses how to remove lorry from its places of rest. 
",Level0
7080,OPERATOR RAISED A CONCERN ABOUT ACTIVITIES WHEN WASHING OUT LINE C BAGGER FROM TOP FLOOR.THE HATCH IS HEAVY TO LIFT INITIALLY.THE APERTURE IS LARGE WITH POTENTIAL TO FALL INTO BAGGING SILO WHEN WASHING IT OUT.THERE IS LIMITED SPACE AROUND THE HATCH WHEN YOU ARE WASHING IT OUT AND THE OPERATORS FEET COULD GET CAUGHT IN THE WATER HOSE DURING CLEANING.,Level0
7081,"While water blasting poly off the LD1 reactor, Bodine dropped a flashlight off of the 2nd level of the LD1 reactor which landed on the ground below. The job was stopped until we could understand what happened and how to prevent reoccurrence.",Level0
7082,Turner employee backed vehicle into a guard post. No injuries or damage to vehicle occurred. The guard post was bent.,Level0
7083,"Operations noticed high vibrations coming from D-3250 O/H fan bank.  Operator identified source of vibration was from EM-3251B and immediately shut it down.  Upon further investigation fan blade was found on the ground.  After fan blade was discovered ops went up top to inspect fan blades and found 3 blades missing on EM-3251B and all 4 blades missing on EM-3251C.  
3 blades were found inside the shroud of ""C"" fan and 3 other blades were found at various locations adjacent to the fan shrouds.
No injuries occurred from this incident.  Blades were secured and area barricaded.",Level0
7084,JV employee not maintaining 100% tie off.,Level0
7085,Airhose line ruptured striking a Turner employee's right leg. Employee was evaluated by Turner Safety and was returned to work.,Level0
7086,Work was being performed by SB2 pumps when an odor was detected in the immediate area.  Area was evacuated and readings were taken.  Personnel were taken to get U-P tested.,Level0
7087,On 04/05/2016 at ~15:00 an LBI Machinist was working on installing 634 P-5A light overhead product pump. When the blind flange was being loosened a small amount of product sprayed onto his shoulder. Employee changed and was evaluated by medical and released back to work. Bleeder was opened and showed no energy.,Level1
7088,2 Brock employees were observed with cell phones in the unit.,Level0
7089,"It was noticed that smoke was coming from the Sit Yard support engine.  Front engine operator stopped and shut down both engines.  A box of clean absorbent pads were smoldering.
A fire ext. was used and the engine was secured. No personnel was on the engine at the time. No damage to the engine reported. 
Savage will provide an investigation. Video tape pulled to see if the cause was captured on tape.  All boxes of rags have been removed for all engines on site. Door and window to the support engine will be closed at all time.
",Level0
7090,"While trouble shooting as to why we could not get caustic concentration on regen of B condensate polisher an operator experienced acid spray 6' into the air while he was standing close by. Small amount contacted lower pant leg and boot which he was able to get cleaned off. The leak was discovered from a section of drain line which comes off of automated double block and bleed and ties into PVC drain line in trough which goes to mix bed pit. The stainless drain line had separated from the pvc drain line and when automated bleed opened the acid was deflected upward from pipe below. Approx. 2 oz was leaked out into trough which drains to mix bed. Area was barricaded and shielded to prevent exposure until repairs have been made. 
Sunny, 79 degrees, wind S-9 mph",Level1
7091,"Fire fighter received minor abrasion on left index finger while removing SCBA. Fire fighter received the abrasion while pulling the release handle on the shoulder strap to remove SCBA. Reported the incident to Training Staff and Band-Aid was applied to finger.  SCBA was inspected with no findings, reviewed safe removal of SCBA with fire fighter.",Level1
7092,"Fire fighter received minor abrasion on right index finger while removing SCBA. Fire fighter received the abrasion while pulling the release handle on the shoulder strap to remove SCBA. Reported the incident to Training Staff and Band-Aid was applied to finger.  SCBA was inspected with no findings. Safety stand down was conducted following the incident ? recommending gloves used when removing SCBA?s, reviewed safe removal of SCBA with all fire fighters.",Level1
7093,Security Officer at Gate 1 called Shift Supervisor requesting EMT.  Security Officer was having difficulty breathing. EMT was dispatched and provided breathing treatment. Security Officer was treated and returned back to work. Personal medical condition.,Level0
7094,JV employee felt discomfort to left eye. Taken to JV safety to have eye flushed and  returned to work.,Level1
7095,Brand employee feeling jittery was taken to LYB Health Services for evaluation and returned to work.,Level0
7096,A PALLET OF FINISHED PRODUCT WAS FOUND IN RACKING POSITION A 2 WITH THE REAR PART OF THE PALLET ONLY BEING SUPPORTED BY THE CENTRE BEAM (SEE PHOTO). PALLET WAS RESET CORRECTLY ON THE FRONT AND REAR CROSS MEMBER.,Level0
7097,"AM-166 went into alarm , reset checked area and everything normal",Level1
7098,Line 3 water leaking into the extruder body on to the screw causing water and mixed plastic and hot steam to shoot out of the vents. Line was shut down till further notice.,Level0
7099,While making rounds in the Catalloy unit it was noticed that a contractor was wearing a Blue Tooth device around his neck.  The job was halted and the contractor was pulled from the unit  the device was turned off and taken to his vehicle for storage.  When he returned to the job all persons on the job participated in a safety stand down.  At this time Lyondellbasell / Equistar phone / intrinsically safe device policies where explained and why there is a zero tolerance for this action.,Level0
7100,Production golf cart driven by operations backed up and scraped company maintenance pick up truck. No injuries reported.,Level0
7101,Employee was walking down lockout at PolyBD unit. He stumbled when he walked on a berm used on Tk-3210 cleaning was left with ends folded down. He did not fall. Hard hat fell off.,Level0
7102,"When the wwtp operator pulled up to the sludge press building to check the area out, he noticed that a section of gutter had blown off the west side of the building and was laying on the north side of the building on the ground.  After further investigation, he found that most of the gutter on the west side of the building was blown down, due to the high winds.  A notification was written to repair the building.",Level0
7103,"Security called BP3 saying that standing water was on the floor of the I&E shop.After discovery looks like the toilet overflowed which water ran to the break room. Yellow signs were placed around the traffic walk areas. Update: Incident was caused by the septic sump backing up, not an overflowing toilet.",Level0
7104,Olefins personnel noticed a piece of loose insulation cladding on E107.  An approximately 4? x 3? section had blown loose in high winds.  Area Techs were able to safely remove the most hazardous section.  Will need Insulation contractor to repair remaining section which is secure at this time.,Level0
7105,"The exhaust stack on the Savage train caught on fire at 20:30hrs just outside of the North gate on track B-3 due to carbon buildup in the stack.  The embers coming off the stack landed in the grass just west of the train resulting in a small grass fire.  Savage employees immediately shut down the engine and put the grass fire out with the extinguisher located on the train.  HSE and management was notified. The grass around the train was soaked down with a fire monitor located just east of the track.  Before the engine was restarted, the fire truck was positioned on the road adjacent to the track and ERT members were stationed around the track with fire extinguishers.  The grass was also sprayed down with a fire monitor.",Level1
7106,"On Thursday March 31, 2016 operations was instructed by the unit guidelines to pressure test and put E-3429-D in service,and that Maintenance was completed with the job. Operations started looking over the exchanger in order to pressure test it and put back into service. The SSD was signed off in the control room for the PSV and all locks had been removed. Operations noticed that the high point bleed flange was still disconnected and the Hydro-test pressure fitting was still connected to the exchanger. Operations then notified the maintenance personnel that the job was incomplete and needed to be finished the following day. 
Friday the next day( April 1, 2016) once again the exchanger was handed over to operations but after looking over the exchanger again operations noticed that a bolt was missing on the Quench oil outlet flange.",Level0
7107,TALC LEAKING FROM TALC SILO D114 FROM BREATHER PIPE,Level0
7108,When transferring material outside to bulk. I noticed that between the hard line and the flex inside the building the was a static discharge. Notified maintenance to install better grounding to fix the issue.,Level0
7109,While unloading plywood from truck employee was wearing gloves and got a splinter in right hand thumb. Employee was evaluated by on site medical and given tetanus shot.,Level1
7110,A HGV was observed driving along the A1 Road heading for the security gate for some distance - the observer tried to signal the driver but he did not notice.  No noticeable marking on the vehicle and too far away to get the registration number.,Level0
7111,Contract employee felt sick when arriving for work. Contractor was taken offsite by the individuals supervisor. This illness is a personal illness and not work related.,Level0
7112,"Security guards during routine rounds notice 150# chlorine cylinder rack had been hit and a couple of cylinders had fallen over. Texas Outhouse truck was setting up to pump out 101 outfall sump close to this rack, but denied hitting the rack. Security guard made phone call to OSC and operations of the finding. They did an investigation no damage to rack or cylinders and the cylinders were placed back in the rack.",Level0
7113,200 ton TNT crane hit the corner pole at gate 8 upon entering the facility. Safety and shift supervisor were notified.,Level0
7114,Turner employee tripped on a rocky area. Fall resulted with back pain. Taken to LYB Health Services.,Level0
7115,"After cleaning work was completed on Line 5 Reactor/Cycle Gas Cooler, an individual personal lock was left on lock box.",Level0
7116,"While lifting replacement ""A"" TLE exchanger in to place using a 20 Ton air hoist  the air hoist controller failed to stop when the operator took his finger of the start/stop button. He then engaged the emergency stop and the hoist halted. The job was stopped and a discussion was held with operations and project coordinator. The hoist was exercised a few times up and down to establish that it was working properly after which the TLE was lowered about 5 feet in to position.",Level0
7117,"At 22:15 JV swapped out a 6"" valve on T-1204, Operations treated the flange surface and gaskets with TBC using a spray bottle to stray flange surfaces, TBC is used in the BD process to treat polymer growth. JV went to lunch and the JV employee stated that when he put his coveralls back on after lunch he noticed the burn on his left shoulder and arm, when he notified Operations he then stated that when he was tightening up the flange he made contact with the flange while he was tightening up the bolts and he did not feel anything until after lunch. Operations then toned out a Level 1 medical emergency. The JV employee was treated on site for skin irritation and returned to work.",Level1
7118,"While performing lifeline inspections on top of storage tank 28-4660, one end of the lifeline was found to be anchored to the top of the 46EMH857",Level0
7119,Employee was installing proximity sensor system to aid forklift movements for the mezzanine to first floor forklift hole when the components (.25 lbs) fell down to the first floor. The components fell in a barricaded area and no one was in the vicinity at the time of the incident.,Level0
7120,A visitor was walking to their vehicle parked in the far parking space in the visitor's parking lot at the BYO Admin Building.  The visitor slipped on the muddy sidewalk. They caught themselves on the front bumper of a truck to avoid completely falling to ground.  The visitor's left knee struck the ground. The visitor was not injured and declined any medical attention.,Level0
7121,"At 02:20 PM, the deluge system 03 for the west end of the EO unit pipe alley activated due to a loss of pressure in the supervisory nitrogen line. The area was thoroughly examined, the deluge system manually isolated, and an impairment form filled out until the system can be reset. Currently, fire system personal are working to find the leak in the supervisory nitrogen line. The system will be re-commissioned as soon as possible.",Level0
7122,Contractor walking through BCO capital fab area encountered a possible sting or bite on his ear by insect or bee.  The contractor was seen by the Austin Safety group and returned to work without any additional follow up required.,Level0
7123,"For Z-260 Phase-1, contractor was working to take a tap from Comfort vent open 2"" line. This line is a lower drain point from 4"" main header in Bldg. 6 Packaging room. As contractor lowered the 2"" line by removal of pipe support hanger and the fluid accumulated around « Gallon came rushing down from 15 ft. and splashed on Contractor employee. Fluid splashed on Contractor?s cloths & body and he immediately removed outer cloths & used water to wash from the body & face.",Level0
7124,Operator was walking through unit and discovered piece of Unistrut and 1 conduit clamp lying on the ground by T3301.  Unistrut was not on ground earlier in the shift when operator was taking readings and performing tasks.  We looked for location where Unistrut may have come from but were unable to determine from what conduit bank it came from.  See attached pictures.,Level0
7125,"While performing a process safety audit in Channelview South utilities area, contractors were observed using a plastic bucket to lift tools to the top of SP-68526C. The contract workers were employed by Gulfspan. The activity was halted and Lyondellbasell's policy was explained to them. The operations shift leader was notified and operation personnel had a meeting with the contractors.",Level0
7126," 
?EO (Austin Employee) riding in on his bicycle to the safety meeting in the rain. 
?The EO rode into a pot hole unknowingly as the ground was covered in water causing EO to fall.
?EO was checked out by Austin Safety and returned to work with no issues. 
?This is a report only.
",Level0
7128,An employee had exited the car park and was driving along the A1 road toward the site exit. As he approached the B6 junction he observed a UBC wagon heading north along the B6 road toward the A1 road. Without slowing down the UBC wagon made the turn onto the A1 road causing the employee to brake in order to avoid a collision. The employee then followed the wagon toward the exit in order collect details of the incident. The speed of the wagon was clocked at 28mph prior to the wagon slowing down for the barrier. The employee noted the vehicle details as a UBC wagon reg S20AHT The details of the incident were passed onto the Fire Team Leader in order to raise the incident.,Level0
7129,"Contractor backed his company vehicle into a concrete pillar outside of Plant 3 on 6th Street, resulting only in minor damage to vehicle.  Contractor immediately reported the incident to both operations and his supervisor and was taken offsite for further testing.",Level0
7130,Turner employee stung by bee on left index finger.  Returned to work.,Level1
7131,"While a JV employee was using a drill the bit broke, jamming finger against the angle iron and drill. Evaluated by JV Safety and released back to work.",Level0
7132,Both areas are being used for storage of materials and have become a general depository for materials and scrap,Level0
7133,Bags trapped together at bag ejection point. Due to being jammed they do not run down the ejection conveyor. The area is protected by guarding so it is very difficult to reach far enough inside the ejection conveyor and remove the trapped bags. This problem has happened twice in the last week.,Level0
7134,"While Climbing up the steps of a front end loader, Equipment Operator felt pain to  left knee. Equipment Owner was evaluated with strain to the hamstring area. Returned to work with no restrictions.",Level0
7135,Wyatt subcontractor was noticed not tied off on top of elevated platform that is being constructed.,Level0
7136,While reassembling C4501 maint reported pressure on cylinder head. Operations was contacted and found low pressure N2 (5psi) tubed into C4501 doghouse. Operation disconnected tubing and added N2 point to EID file.,Level1
7137,"Contractor was holding surveying reflector, paying attention to partners hand signals.  Delivery truck was backing up and bumped the surveying contract employee.  Due to the bump being slight, the employee did not feel it was necessary to report it at that time.(Levingston's Investigation Rpt attached)",Level0
7138,forklift driver was distracted looking for material and failed to sound horn while coming from a blind spot talked to driver and problem is resolved,Level0
7139,Contract worker reported a process smell in the VAM Unit.  Operations determined it to be B PRU Pot vent.,Level0
7140,"JV employee working in C Structure experienced chest pain.  RTFC performed rescue, employee was taken to off-site medical.",Level0
7141,Brand employee handling scaffold material felt discomfort in left shoulder. Employee taken to LYB Health Services for evaluation and returned to work without restrictions..,Level1
7142,While inspecting T440 internals an LYB inspector bumped his hardhat on internal manway knocking it off and receiving a laceration on forehead from the internal manways sharp edge. Employee was checked out at medical and released to full duty.,Level1
7143,Walking by line-5 box-out area I noticed water dripping down from sump pump line onto an electrical outlet. I notified maintenance to resolve the issue.,Level0
7144,While repairing damaged trays in T440. Gulfspan employee was seen inside the tower without a harness on by operations personnel. Employee admitted to not wearing harness while working inside T440.,Level0
7145,Turner employee found sleeping on a scaffold in the unit.,Level0
7146,"Contractor was building a containment on F3250 in Plant 3s 400 section, when his finger was inadvertently contacted by a fastener he was installing.  Employee notified supervisor immediately and was taken to nurses station for further evaluation.",Level1
7147,When I went to use the box for the box out operations there was no padding in the bottom to support the material. I had to go retrieve a new pad to place in the bottom of the box.,Level0
7148,"On or around 3/11/2016 MB operations contacted BearCom due to bad communication problems between MBO and the controllers in Clear Lake.  BearCom came out to trouble shoot the communication system, and was supposed to go to Clear Lake to trouble shoot from that end.  To date...we are still having communication issues from Clear Lake to MBO.  Clear Lake can hear MBO loud and clear.",Level0
